Name,Address,lat,lon
Covenant House Toronto,20 Gerrard St E,43.6594708,-79.38144166
University of Toronto Students' Union Food Bank,230 College St,43.65862067,-79.39800606
Toronto Metropolitan University Students' Union,"55 Gould St, Rm SCC-209",43.65871446,-79.37875174
Women's Health in Women's Hands Community Health Centre,"2 Carlton St, Suite 500",43.66151381,-79.38295015
Teresa Group - Child and Family Aid,"355 Church St, 2nd Fl",43.66035606,-79.37850657
Scott Mission - Food and Meals,502 Spadina Ave,43.65863479,-79.40106478
Toronto People with AIDS Foundation,"163 Queen St E, 2nd Fl",43.66213137,-79.38864582
Fort York Food Bank,380 College St,43.65733962,-79.40466506
Native Women's Resource Centre of Toronto,191 Gerrard St E,43.66085558,-79.37282967
Toronto Alliance Church,"602 Queen St W, 2nd Fl",43.64731667,-79.40467822
Allan Gardens Food Bank,353 Sherbourne St,43.66277357,-79.37250655
Metis Nation of Ontario,"75 Sherbourne St, Suite 311",43.65266122,-79.36853127
Toronto Vegetarian Food Bank,270 Gerrard St E,43.6623533,-79.36807697
Yonge Street Mission,270 Gerrard St E,43.6623533,-79.36807697
Toronto Council Fire Native Cultural Centre,439 Dundas St E,43.65923464,-79.36628098
Lourdes Food Bank,275 Bleeker St,43.66876629,-79.3734677
Toronto Aboriginal Support Services COuncil,660 Dundas St E,43.6551951,-79.36301724
St Bartholomew's Anglican Church,509 Dundas St E,43.6596863,-79.36406287
Waterefront Neighbourhood Centre,"627 Queens Quay W, Main Fl",43.63571423,-79.39712479
Avenue Road Food Bank,240 Avenue Rd,43.67675094,-79.39772334
Lighthouse (The),1008 Bathurst St,43.6711025,-79.41385272
Salvation Army Bloor Central Corps (The),789 Dovercourt Rd,43.66333021,-79.42979728
St Ann Parish Food Bank,120 First Ave E,43.66610902,-79.34647856
Frontline Connections - Golden Mile Food Bank,1021 Birchmount Rd,43.67842279,-79.35658772
Churches on the Hill Food Bank,230 St Clair Ave W,43.6861719,-79.40570316
Parkdale Community Food Bank,5 Brock Ave,43.64209772,-79.43233456
Hillcrest Community Food Bank,2 Vaughan Rd,43.68130981,-79.41822774
St Michael and All Angels Church Beeton Cupboard Food Bank,611 St Clair Ave W,43.68222558,-79.42163263
Oasis Dufferin Community Centre,1219 Dufferin St,43.66709494,-79.43811833
Eastview Neighbourhood Community Centre,86 Blake St,43.67558279,-79.34016397
South Asian Women's Centre,"800 Lansdowne Ave, Unit 1",43.66522108,-79.44615138
FCJ Refugee Centre,208 Oakwood Ave,43.6822244,-79.43698954
Bethany Church Food Bank,1041 Pape Ave,43.68895964,-79.3483924
"Westminster Chapel at High Park, Food and Clothing Bank",9 Hewitt Ave,43.65188275,-79.45332017
"Stop Community Food Centre, The",1884 Davenport Rd,43.67073499,-79.45408267
East End United Regional Ministry,"1470 Gerrard St E, Bsmt",43.6727099,-79.32086347
Thorncliffe Food Bank,"1 Leaside Park Dr, Unit 5B",43.70238405,-79.35174776
TNO - The Neighbourhood Organization,"45 Overlea Blvd, Unit 1A",43.705804,-79.34630103
Grant AME Church,2029 Gerrard St E,43.68186784,-79.30820763
"Salvation Army, Community Services",107 Cedarvale Ave,43.68756472,-79.31114079
Sharing Place,624 Annette St,43.65978995,-79.4820514
Flemingdon Community Food Bank,"10 Gateway Blvd, Bsmt, Unit 154",43.70979131,-79.33267793
Islamic Social Services and Resources Association,2375 St Clair Ave W,43.66935181,-79.48065255
Syme Woolner Neighbourhood and Family Centre - York Neighbourhood Food Bank,"2468 Eglinton Ave W, Unit 3",43.6919591,-79.46830936
Grace Pascoe Care Centre,72 Main St,43.68143596,-79.29945667
Bloor West Food Bank,379 Jane St,43.65709328,-79.48733561
CommunitiCare Health,3446 Dundas St W,43.66608937,-79.48634369
North York Harvest Food Bank - Lawrence Heights Community Food Space,5 Replin Rd,43.71790793,-79.44206579
Syme Woolner Neighbourhood and Family Centre - Food Bank 190,"190 Woolner Ave, Bsmt",43.67301894,-79.49023876
Unison Health and Community Services,12 Flemington Rd,43.72008751,-79.44351368
Governing Council of the Salvation Army in Canada (The),1100 Weston Rd,43.68630371,-79.48862885
Christ Church St James Anglican Church Food Pantry,194 Park Lawn Rd,43.62978043,-79.49107737
Jane Alliance Neighbourhood Services,"909 Jane St, Suite 205",43.6777237,-79.49598489
Wesley Mimico United Church,2379 Lake Shore Blvd W,43.61612518,-79.48666413
Community Share Food Bank,33 Overland Dr,43.7320469,-79.34846709
Scott Mission - O'Connor Food Bank,1550 O'Connor Dr,43.71438694,-79.30661691
College-Montrose Children's Place,"4020 Dundas St W, Unit",43.66416019,-79.50638114
Warden Woods Community Centre,40 Teesdale Place,43.69725253,-79.28642181
North York Harvest Food Bank - Warehouse and Administrative Centre,116 Industry St,43.69369277,-79.49197013
Norseman Community Food Bank,763 Royal York Rd,43.63525385,-79.50518328
Soso World Ministries - Byng Towers Food Bank,3330 Danforth Ave,43.69364416,-79.27869671
Bluffs Food Bank,33 East Rd,43.68774531,-79.27206537
Friends of Jesus Christ Food Bank,1420 Victoria Park Ave,43.721501,-79.30222094
Soso World Ministries - Warden Ave Food Bank,673 Warden Ave,43.70906443,-79.27781879
Daily Bread Food Bank,191 New Toronto St,43.60657416,-79.50387503
Salvation Army Yorkminster Citadel Corps,1 Lord Seaton Rd,43.75241769,-79.40726689
Soso World Ministries - Glen Everest Food Bank,10 Glen Everest Rd,43.6990025,-79.25529879
Frontline Connections - Scarlett Woods Food Bank,58 Waterton Rd,43.69399276,-79.51684217
Mabelle Food Program,49 Mabelle Ave,43.64511843,-79.528691
Church of St Jude (Wexford) Deacons Pantry,10 Howarth Ave,43.73968591,-79.30669059
Weston Area Emergency Support,1 King St,43.70201223,-79.51893765
Feed Scarborough,2213 Kingston Rd,43.7032849,-79.25290199
"Salvation Army, Community Services - Scarborough Citadel Community Services",2021 Lawrence Ave E,43.74475059,-79.29628504
Emmanuel Life Management Center,"251 Roywood Dr, Community Room",43.7618151,-79.33567798
Haven on the Queensway,76 Fordhouse Blvd,43.61642692,-79.53633973
Triumphant Church of God Food Bank,1 Elrose Ave,43.7185113,-79.52531569
Mount Zion Filipino Seventh-day Adventist Church,140 St Regis Cres,43.75496298,-79.48443052
St James Food Basket,400 Burnhamthorpe Rd,43.64674557,-79.55644138
Westway Christian Church,6 Kilburn Place,43.68477208,-79.55366513
Society for the Living Food Bank,1906 Sheppard Ave W,43.74004679,-79.50950331
Afghan Women's Organization Refugee and Immigrant Services,"2555 Eglinton Ave E, Suite 211",43.73449693,-79.2572791
Meadowvale East Apostolic Church Food Bank,1510 Warden Ave,43.76172592,-79.30120665
North York Harvest Food Bank - Bathurst-Finch Community Food Bank,580 Finch Ave W,43.77442362,-79.45032825
Midaynta Community Services,7 Capri Rd,43.65269865,-79.56428726
North York Harvest Food Bank - Oriole Food Space,2975 Don Mills Rd W,43.78140872,-79.35109766
Kingsview Eats Food Bank,70 Kingsview Blvd,43.69772954,-79.55774385
Society for the Living Food Bank,350 Grandravine Dr,43.74864382,-79.51276798
PEACH,127 Eddystone Ave,43.74782667,-79.51992822
"Salvation Army, Community Services - Yorkwoods Community Church",20 Yorkwoods Gate,43.75138562,-79.51428745
Loyan Community Food Bank,44 Willowridge Rd,43.67581183,-79.56950617
Emmanuel Life Management Center - VP and Sheppard Food Bank,"2743 Victoria Park Ave, Recreation Room",43.77899905,-79.3243847
Grace Place Food Bank,1428 Kennedy Rd,43.76437686,-79.28114112
Holy Wisdom Food Bank @ Brimley and Lawrence,776 Brimley Rd,43.75036542,-79.254543
ACSA Community Services,"1911 Kennedy Rd, Unit 105",43.76752376,-79.2808662
"Canadian Red Cross Society, Toronto","557 Dixon Rd, Unit 110",43.69007783,-79.57159586
Apostles Continuation Church International Food Bank,10 Belfield Rd,43.70353828,-79.57411949
Soso World Ministries - McCowan Rd Food Bank,400 McCowan Rd,43.7410613,-79.24142398
Salvation Army North York Temple Corps (The),25 Centre Ave,43.79187608,-79.41542575
Rhema Christian Ministries,995 Arrow Rd,43.75121673,-79.5323621
Seneca Student Federation,"1750 Finch Ave , Rm E2014",43.79632495,-79.34898735
Redeemed Christian Church of God,175 Rexdale Blvd,43.71111858,-79.57363795
"Salvation Army, Community Services - Etobicoke Family Services",2152 Kipling Ave,43.72127611,-79.57224362
Centre for Immigrant and Community Services,2330 Midland Ave,43.77807826,-79.27579632
Second Chance Foundation,"3171 Eglinton Ave E, Main Fl",43.74234142,-79.22015415
Emmanuel Life Management Center - Chester Le Food Bank,142 Chester Le Blvd,43.79653407,-79.33093172
Elspeth Heyworth Centre for Women,"2350 Finch Ave W, Unit D",43.7520931,-79.54555673
Mount Olive Food Bank,"1030 Albion Rd, Bsmt",43.73663129,-79.5630884
Christ Church Scarborough - Markham Road Food Bank,155 Markham Rd,43.74182564,-79.21758928
St John the Compassionate Mission,193 Markham Rd,43.74398713,-79.21883224
Delta Family Resource Centre,"2291 Kipling Ave, Unit 123",43.72910179,-79.57399434
Grace Community Food Share,201 Tempo Ave,43.80537271,-79.33939996
Our Saviour Lutheran Church Food Bank,2705 Islington Ave,43.74019683,-79.56631937
Toronto Perth Seventh-Day Adventist Church Food Bank,220 Bethridge Rd,43.70739999,-79.58782675
ANIDA Food Bank,4401 Steeles Ave W,43.77248799,-79.53303735
"Housing Help Centre, The","705 Progress Ave, Unit 21/22",43.77659131,-79.24586412
Grace CRC McCowan Food Bank,25 Channel Nine Ct,43.78262355,-79.25730836
Toronto East Food Bank,4548 Sheppard Ave E,43.78969654,-79.26339152
OneChurch.to Food Bank,2885 Kennedy Rd,43.80295604,-79.296997
Thistletown Food Bank,248 Jamestown Cres,43.73316747,-79.58687272
North York Harvest Food Bank - Albion Library Community Food Space,1515 Albion Rd,43.73960737,-79.58271563
St Stephen's Presbyterian Church,3817 Lawrence Ave E,43.76283375,-79.2094129
Tropicana Community Services Organization,1385 Huntingwood Dr,43.79761421,-79.26520872
Canadian South Asian Growth and Support Services,50 Tuxedo Court,43.78078875,-79.23171807
Sakeenah Canada (GTA),"230 Nugget Ave, Unit 4",43.79666513,-79.25278833
Toronto West Seventh-Day Adventist Church Food Bank,"1621 Albion Rd, Lower Level",43.7409647,-79.59183531
Friends of Jesus Christ Food Bank - West Hill Community Food Bank,4175 Lawrence Ave E,43.7672265,-79.18881614
Muslim Welfare Canada,"100 McLevin Ave, Unit 7",43.8019342,-79.23750066
West Hill Community Support Program,"4234 Lawrence Ave E, Unit 2",43.76932973,-79.18361491
Canadian South Asian Growth and Support Services -Food Pantry at Morningside,"90 Mornelle Crt, Bsmt",43.78768941,-79.19618224
Sai Dham Food Bank,31 Steinway Blvd,43.75118924,-79.61967136
Malvern Food Bank,20 Sewells Rd,43.80916896,-79.21645815
Staff of Life Food Bank,65 Grand Marshall Dr,43.80171237,-79.19516199
