lon,lat,BranchName
-79.5845,43.73999,Albion
-79.2691,43.70814,Albert Campbell
-79.5471,43.60168,Alderwood
-79.2935,43.78522,Agincourt
-79.4218,43.73922,Armour Heights
-79.4664,43.6634,Annette Street
-79.4858,43.70646,Amesbury Park
-79.3258,43.75952,Brookbanks
-79.5113,43.72156,Black Creek
-79.244,43.75109,Bendale
-79.2985,43.67011,Beaches
-79.4322,43.72071,Barbara Frum
-79.434,43.65992,Bloor/Gladstone
-79.5142,43.64747,Brentwood
-79.3188,43.79976,Bridlewood
-79.2341,43.79395,Burrows Hall
-79.2305,43.72566,Cliffcrest
-79.4496,43.77301,Centennial
-79.2241,43.75754,Cedarbrae
-79.3838,43.65337,City Hall
-79.4145,43.76817,North York Central Library
-79.4202,43.65513,College/Shaw
-79.3214,43.68368,Danforth/Coxwell
-79.4915,43.66548,Daniel G. Hill (formely Jane/Dundas)
-79.3473,43.73671,Don Mills
-79.482,43.72885,Downsview
-79.3924,43.68863,Deer Park
-79.297,43.70169,Dawes Road
-79.4284,43.67458,Davenport
-79.4424,43.67701,Dufferin/St. Clair
-79.5591,43.64616,Eatonville
-79.5839,43.66014,Elmbrook Park
-79.4723,43.68631,Evelyn Gregory
-79.3757,43.76874,Ethennonnhawahstihnen' (formely Bayview)
-79.3017,43.72358,Eglinton Square
-79.4207,43.70233,Forest Hill
-79.4004,43.63923,Fort York
-79.3317,43.718,Flemingdon Park
-79.3467,43.77909,Fairview
-79.322,43.67245,Gerrard/Ashdale
-79.278,43.82404,Goldhawk Park
-79.1995,43.74704,Guildwood
-79.4912,43.63032,Humber Bay
-79.1752,43.79003,Highland Creek
-79.369,43.79707,Hillcrest
-79.4489,43.64513,High Park
-79.5716,43.75906,Humber Summit
-79.6195,43.72873,Humberwood
-79.3345,43.66598,Jones
-79.5101,43.73996,Jane/Sheppard
-79.4496,43.66566,Junction Triangle (formely Perth/Dupont)
-79.2704,43.73221,Kennedy/Eglinton
-79.5314,43.59529,Long Branch
-79.3676,43.70641,Leaside
-79.4018,43.72488,Locke
-79.3984,43.65798,Lillian H. Smith
-79.2995,43.68341,Main Street
-79.2162,43.80824,Malvern
-79.4473,43.69614,Maria A. Shchuka
-79.2809,43.74794,McGregor Park
-79.4883,43.68659,Mount Dennis
-79.4937,43.61486,Mimico Centennial
-79.3882,43.70396,Mount Pleasant
-79.3116,43.75719,Maryvale
-79.1784,43.76988,Morningside
-79.3998,43.70824,Northern District
-79.5654,43.71089,Northern Elms
-79.5099,43.59905,New Toronto
-79.4383,43.68656,Oakwood Village Library and Arts Centre
-79.3446,43.67862,Pape/Danforth
-79.4327,43.64127,Parkdale
-79.368,43.66183,Parliament Street
-79.4141,43.66511,Palmerston
-79.1402,43.7795,Port Union
-79.3355,43.78761,Pleasant View
-79.3476,43.65928,Queen/Saulter
-79.3531,43.66571,Riverdale
-79.5411,43.68344,Richview
-79.4739,43.65188,Runnymede
-79.5732,43.72614,Rexdale
-79.4055,43.65214,Sanderson
-79.3748,43.72317,Sunnybrook Hospital
-79.257,43.77237,Scarborough Civic Centre
-79.4606,43.67429,St. Clair/Silverthorn
-79.3744,43.66749,St. James Town
-79.3683,43.65012,St. Lawrence
-79.4046,43.66767,Spadina Road
-79.3224,43.81555,Steeles
-79.4779,43.64758,Swansea Memorial
-79.3297,43.69217,S. Walter Stewart
-79.2713,43.68789,Taylor Memorial
-79.3425,43.70297,Thorncliffe
-79.3494,43.69163,Todmorden Room
-79.3867,43.67195,Toronto Reference Library
-79.3129,43.73605,Victoria Village
-79.5207,43.70171,Weston
-79.5384,43.73977,Woodview Park
-79.2703,43.8088,Woodside Square
-79.4176,43.68222,Wychwood
-79.3886,43.67192,Yorkville
-79.5073,43.75892,York Woods
